tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
1,Primary Care,PCP Adult,Standard,050;055;060;089;091,None,"15m/10mi (M/P), 40m/30mi (Other)",None,AHCCCS 436
1,Primary Care,PCP Pediatric,Standard,050;150;176,None,"15m/10mi (M/P), 40m/30mi (Other)",None,AHCCCS 436
1,Specialty,OB/GYN,Standard,089;090;091;095;181;219,None,"15m/10mi (M/P), 40m/30mi (Other)",None,AHCCCS 436
1,Specialty,Adult Cardiology,Standard,062;927,None,"30m/20mi (M/P), 75m/60mi (Other)",None,AHCCCS 436
1,Specialty,Pediatric Cardiology,Standard,062;151;927,None,"30m/20mi (M/P), 75m/60mi (Other)",None,AHCCCS 436
1,Facility,Hospital,Standard,02;C4,None,"60m/45mi (M/P), 110m/100mi (Other)",None,AHCCCS 436
1,Facility,Nursing Facility,Standard,22,None,"45m/30mi (M/P), 95m/85mi (Other)",None,AHCCCS 436
1,Ancillary,Pharmacy,Standard,03;05,None,"12m/8mi (M/P), 40m/30mi (Other)",None,AHCCCS 436
1,Behavioral Health,BH Outpatient,Standard,77;IC,None,"15m/10mi (M/P), 45mi (Other)",None,AHCCCS 436
