Provider Type Code,Provider Type Description,Provider Specialty Code,Provider Specialty Description,nucc_code,Taxonomy Description,match_confidence
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,2081H0002X,PHYSICAL MEDICINE & REHABILITATION - HOSPICE AND PALLIATIVE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,2081N0008X,PHYSICAL MEDICINE & REHABILITATION - NEUROMUSCULAR MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,2081P0004X,PHYSICAL MEDICINE & REHABILITATION - SPINAL CORD INJURY MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,2081P0010X,PHYSICAL MEDICINE & REHABILITATION - PEDIATRIC REHABILITATION MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,2081P0301X,PHYSICAL MEDICINE AND REHABILITATION - BRAIN INJURY MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,2081P2900X,PHYSICAL MEDICINE & REHABILITATION - PAIN MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,2081S0010X,PHYSICAL MEDICINE & REHABILITATION - SPORTS MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""041""",PHYSICAL MEDICINE AND REHAB,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,207RA0401X,INTERNAL MEDICINE - ADDICTION MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084A0401X,PSYCHIATRY & NEUROLOGY - ADDICTION MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084B0002X,PSYCHIATRY AND NEUROLOGY - OBESITY MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084F0202X,PSYCHIATRY & NEUROLOGY - FORENSIC PSYCHIATRY,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084H0002X,PSYCHIATRY & NEUROLOGY - HOSPICE AND PALLIATIVE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084N0600X,PSYCHIATRY & NEUROLOGY - CLINICAL NEUROPHYSIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084P0015X,PSYCHIATRY & NEUROLOGY - PSYCHOSOMATIC MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084P0301X,PSYCHIATRY AND NEUROLOGY - BRAIN INJURY MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084P0800X,PSYCHIATRY & NEUROLOGY - PSYCHIATRY,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084P0802X,PSYCHIATRY & NEUROLOGY - ADDICTION PSYCHIATRY,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084P2900X,PSYCHIATRY & NEUROLOGY - PAIN MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084S0010X,PSYCHIATRY & NEUROLOGY - SPORTS MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,2084S0012X,PSYCHIATRY & NEUROLOGY - SLEEP MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""042""",PSYCHIATRY,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""043""","PSYCHIATRY, CHILD",2084P0301X,PSYCHIATRY AND NEUROLOGY - BRAIN INJURY MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""043""","PSYCHIATRY, CHILD",2084P0804X,PSYCHIATRY & NEUROLOGY - CHILD & ADOLESCENT PSYCHIATRY,source
"=""26""",PHYSICIAN (D.O.),"=""043""","PSYCHIATRY, CHILD",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""044""",PSYCHOANALYSIS,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""045""",PUBLIC HEALTH,2083P0901X,PREVENTIVE MEDICINE - PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""045""",PUBLIC HEALTH,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""046""",PULMONARY DISEASES,207RP1001X,INTERNAL MEDICINE - PULMONARY DISEASE,source
"=""26""",PHYSICIAN (D.O.),"=""046""",PULMONARY DISEASES,2080P0214X,PEDIATRICS - PEDIATRIC PULMONOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""046""",PULMONARY DISEASES,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""047""",RADIOLOGY,2085B0100X,RADIOLOGY - BODY IMAGING,source
"=""26""",PHYSICIAN (D.O.),"=""047""",RADIOLOGY,2085D0003X,RADIOLOGY - DIAGNOSTIC NEUROIMAGING,source
"=""26""",PHYSICIAN (D.O.),"=""047""",RADIOLOGY,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",207U00000X,NUCLEAR MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",207UN0901X,NUCLEAR MEDICINE - NUCLEAR CARDIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",207UN0903X,NUCLEAR MEDICINE - IN VIVO & IN VITRO NUCLEAR MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",2085N0700X,RADIOLOGY - NEURORADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",2085N0904X,RADIOLOGY - NUCLEAR RADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",2085R0202X,RADIOLOGY - DIAGNOSTIC RADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",2085R0204X,RADIOLOGY - VASCULAR & INTERVENTIONAL RADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",2085U0001X,RADIOLOGY - DIAGNOSTIC ULTRASOUND,source
"=""26""",PHYSICIAN (D.O.),"=""048""","RADIOLOGY, DIAGNOSTIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""049""","RADIOLOGY, PEDIATRIC",2085P0229X,RADIOLOGY - PEDIATRIC RADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""049""","RADIOLOGY, PEDIATRIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",207UN0902X,NUCLEAR MEDICINE - NUCLEAR IMAGING & THERAPY,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",2085H0002X,RADIOLOGY - HOSPICE AND PALLIATIVE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",2085N0700X,RADIOLOGY - NEURORADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",2085N0904X,RADIOLOGY - NUCLEAR RADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",2085R0001X,RADIOLOGY - RADIATION ONCOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",2085R0203X,RADIOLOGY - THERAPEUTIC RADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",2085R0204X,RADIOLOGY - VASCULAR & INTERVENTIONAL RADIOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""050""","RADIOLOGY, THERAPEUTIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""051""",RHEUMATOLOGY,207RR0500X,INTERNAL MEDICINE - RHEUMATOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""051""",RHEUMATOLOGY,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""052""","SURGERY, ABDOMINAL",208600000X,SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""052""","SURGERY, ABDOMINAL",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""053""","SURGERY, CARDIOVASCULAR",2086S0129X,SURGERY - VASCULAR SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""053""","SURGERY, CARDIOVASCULAR",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""054""","SURGERY, COLON/RECTAL",208C00000X,COLON & RECTAL SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""054""","SURGERY, COLON/RECTAL",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",204E00000X,ORAL & MAXILLOFACIAL SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",204F00000X,TRANSPLANT SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",208600000X,SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",2086H0002X,SURGERY - HOSPICE AND PALLIATIVE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",2086P0122X,SURGERY - PHYSICIAN NUTRITION SPECIALIST,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",2086S0102X,SURGERY - SURGICAL CRITICAL CARE,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",2086S0129X,SURGERY - VASCULAR SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",2086X0206X,SURGERY - SURGICAL ONCOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""055""","SURGERY, GENERAL",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""056""","SURGERY, HAND",207XS0106X,ORTHOPAEDIC SURGERY - HAND SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""056""","SURGERY, HAND",2082S0105X,PLASTIC SURGERY - SURGERY OF THE HAND,source
"=""26""",PHYSICIAN (D.O.),"=""056""","SURGERY, HAND",2086S0105X,SURGERY - SURGERY OF THE HAND,source
"=""26""",PHYSICIAN (D.O.),"=""056""","SURGERY, HAND",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""057""","SURGERY, NEUROLOGICAL",207T00000X,NEUROLOGICAL SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""057""","SURGERY, NEUROLOGICAL",2084E0001X,EPILEPSY PHYSICIAN,source
"=""26""",PHYSICIAN (D.O.),"=""057""","SURGERY, NEUROLOGICAL",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",207X00000X,ORTHOPAEDIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",207XP3100X,ORTHOPAEDIC SURGERY - PEDIATRIC ORTHOPAEDIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",207XS0114X,ORTHOPAEDIC SURGERY - ADULT RECONSTRUCTIVE ORTHOPAEDIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",207XS0117X,ORTHOPAEDIC SURGERY - ORTHOPAEDIC SURGERY OF THE SPINE,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",207XX0004X,ORTHOPAEDIC SURGERY - FOOT AND ANKLE SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",207XX0005X,ORTHOPAEDIC SURGERY - SPORTS MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",207XX0801X,ORTHOPAEDIC SURGERY - ORTHOPAEDIC TRAUMA,source
"=""26""",PHYSICIAN (D.O.),"=""058""","SURGERY, ORTHOPEDIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""059""","SURGERY, PEDIATRIC",207XP3100X,ORTHOPAEDIC SURGERY - PEDIATRIC ORTHOPAEDIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""059""","SURGERY, PEDIATRIC",2086S0120X,SURGERY - PEDIATRIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""059""","SURGERY, PEDIATRIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""060""","SURGERY, PLASTIC",207ND0101X,DERMATOLOGY - MOHS-MICROGRAPHIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""060""","SURGERY, PLASTIC",208200000X,PLASTIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""060""","SURGERY, PLASTIC",2082S0099X,PLASTIC SURGERY - PLASTIC SURGERY WITHIN THE HEAD AND NECK,source
"=""26""",PHYSICIAN (D.O.),"=""060""","SURGERY, PLASTIC",2086S0122X,SURGERY - PLASTIC AND RECONSTRUCTIVE SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""060""","SURGERY, PLASTIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""061""","SURGERY, THORACIC",208G00000X,THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY),source
"=""26""",PHYSICIAN (D.O.),"=""061""","SURGERY, THORACIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""062""","SURGERY, TRAUMATIC",207XX0801X,ORTHOPAEDIC SURGERY - ORTHOPAEDIC TRAUMA,source
"=""26""",PHYSICIAN (D.O.),"=""062""","SURGERY, TRAUMATIC",2086S0127X,SURGERY - TRAUMA SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""062""","SURGERY, TRAUMATIC",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""063""","SURGERY, UROLOGICAL",208800000X,UROLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""063""","SURGERY, UROLOGICAL",2088P0231X,UROLOGY - PEDIATRIC UROLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""063""","SURGERY, UROLOGICAL",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""065""",MATERNAL/FETAL,207VM0101X,OBSTETRICS & GYNECOLOGY - MATERNAL & FETAL MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""065""",MATERNAL/FETAL,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""066""",COMPREHENSIVE BEHAVIORAL HEALTH ASSESSMENT,2084P0800X,PSYCHIATRY & NEUROLOGY - PSYCHIATRY,source
"=""26""",PHYSICIAN (D.O.),"=""066""",COMPREHENSIVE BEHAVIORAL HEALTH ASSESSMENT,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""067""",SPECIALIZED THERAPEUTIC FOSTER CARE,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""100""",GENETICS,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""101""","PEDIATRICS, CRITICAL CARE",2080N0001X,PEDIATRICS - NEONATAL-PERINATAL MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""101""","PEDIATRICS, CRITICAL CARE",2080P0203X,PEDIATRICS - PEDIATRIC CRITICAL CARE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""101""","PEDIATRICS, CRITICAL CARE",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""102""","PEDIATRICS, EMERGENCY CARE",2080P0204X,PEDIATRICS - PEDIATRIC EMERGENCY MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""102""","PEDIATRICS, EMERGENCY CARE",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""103""","SURGERY, PEDIATRIC - NON-BOARD CERTIFIED",2086S0120X,SURGERY - PEDIATRIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""103""","SURGERY, PEDIATRIC - NON-BOARD CERTIFIED",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""104""","SURGERY, UROLOGIC - NON-BOARD CERTIFIED",208800000X,UROLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""104""","SURGERY, UROLOGIC - NON-BOARD CERTIFIED",261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""105""",PEDIATRIC PALLIATIVE CARE,2080H0002X,PEDIATRICS - HOSPICE AND PALLIATIVE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""105""",PEDIATRIC PALLIATIVE CARE,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""140""",HOSPITALIST,202D00000X,INTEGRATIVE MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""140""",HOSPITALIST,207RA0401X,INTERNAL MEDICINE - ADDICTION MEDICINE,source
"=""26""",PHYSICIAN (D.O.),"=""140""",HOSPITALIST,208M00000X,HOSPITALIST,source
"=""26""",PHYSICIAN (D.O.),"=""140""",HOSPITALIST,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""205""",ENDOCRINOLOGY (PEDS),2080P0205X,PEDIATRICS - PEDIATRIC ENDOCRINOLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""205""",ENDOCRINOLOGY (PEDS),261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""209""",UROLOGY,208800000X,UROLOGY,source
"=""26""",PHYSICIAN (D.O.),"=""209""",UROLOGY,2088F0040X,UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY,source
"=""26""",PHYSICIAN (D.O.),"=""209""",UROLOGY,261Q00000X,CLINIC/CENTER,source
"=""26""",PHYSICIAN (D.O.),"=""220""",MEDICAL SCHOOL MOBILE UNITS,261Q00000X,CLINIC/CENTER,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,213E00000X,PODIATRIST,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,213EP0504X,PODIATRIST - PUBLIC MEDICINE,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,213EP1101X,PODIATRIST - PRIMARY PODIATRIC MEDICINE,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,213ER0200X,PODIATRIST - RADIOLOGY,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,213ES0000X,PODIATRIST - SPORTS MEDICINE,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,213ES0103X,PODIATRIST - FOOT & ANKLE SURGERY,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,213ES0131X,PODIATRIST - FOOT SURGERY,source
"=""27""",PODIATRIST,"=""927""",PODIATRIST,261QP1100X,CLINIC/CENTER - PODIATRIC,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111N00000X,CHIROPRACTOR,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NI0013X,CHIROPRACTOR - INDEPENDENT MEDICAL EXAMINER,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NI0900X,CHIROPRACTOR - INTERNIST,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NN0400X,CHIROPRACTOR - NEUROLOGY,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NN1001X,CHIROPRACTOR - NUTRITION,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NP0017X,CHIROPRACTOR - PEDIATRIC CHIROPRACTOR,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NR0200X,CHIROPRACTOR - RADIOLOGY,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NR0400X,CHIROPRACTOR - REHABILITATION,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NS0005X,CHIROPRACTOR - SPORTS PHYSICIAN,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NT0100X,CHIROPRACTOR - THERMOGRAPHY,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NX0100X,CHIROPRACTOR - OCCUPATIONAL HEALTH,source
"=""28""",CHIROPRACTOR,"=""928""",CHIROPRACTOR,111NX0800X,CHIROPRACTOR - ORTHOPEDIC,source
"=""29""",PHYSICIAN ASSISTANT,"=""929""",PHYSICIAN ASSISTANT,246ZX2200X,"SPECIALIST/TECHNOLOGIST, OTHER - ORTHOPEDIC ASSISTANT",source
"=""29""",PHYSICIAN ASSISTANT,"=""929""",PHYSICIAN ASSISTANT,363A00000X,PHYSICIAN ASSISTANT,source
"=""29""",PHYSICIAN ASSISTANT,"=""929""",PHYSICIAN ASSISTANT,363AM0700X,PHYSICIAN ASSISTANT - MEDICAL,source
"=""29""",PHYSICIAN ASSISTANT,"=""929""",PHYSICIAN ASSISTANT,363AS0400X,PHYSICIAN ASSISTANT - SURGICAL TECHNOLOGIST,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""075""",ADULT PRIMARY CARE,363L00000X,NURSE PRACTITIONER,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""075""",ADULT PRIMARY CARE,363LA2200X,NURSE PRACTITIONER - ADULT HEALTH,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""075""",ADULT PRIMARY CARE,363LP2300X,NURSE PRACTITIONER - PRIMARY CARE,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,363LP0808X,NURSE PRACTITIONER - PSYCH/MENTAL HEALTH,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,364SP0807X,"CLINICAL NURSE SPECIALIST - PSYCH/MENTAL HEALTH, CHILD & ADOLESCENT",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,364SP0808X,CLINICAL NURSE SPECIALIST - PSYCH/MENTAL HEALTH,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,364SP0809X,"CLINICAL NURSE SPECIALIST - PSYCH/MENTAL HEALTH, ADULT",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,364SP0810X,"CLINICAL NURSE SPECIALIST - PSYCH/MENTAL HEALTH, CHILD & FAMILY",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,364SP0811X,"CLINICAL NURSE SPECIALIST - PSYCH/MENTAL HEALTH, CHRONICALLY ILL",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,364SP0812X,"CLINICAL NURSE SPECIALIST - PSYCH/MENTAL HEALTH, COMMUNITY",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""076""",CLINICAL NURSE SPECIALIST PSYCH. MENTAL HEALTH,364SP0813X,"CLINICAL NURSE SPECIALIST - PSYCH/MENTAL HEALTH, GEROPSYCHIATRIC",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""077""",COLLEGE HEALTH NURSE,363LS0200X,NURSE PRACTITIONER - SCHOOL,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""078""",DIABETIC NURSE PRACTITIONER,363LP2300X,NURSE PRACTITIONER - PRIMARY CARE,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""080""",FAMILY NURSE,363L00000X,NURSE PRACTITIONER,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""080""",FAMILY NURSE,363LF0000X,NURSE PRACTITIONER - FAMILY,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""081""",FAMILY PLANNING,363L00000X,NURSE PRACTITIONER,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""081""",FAMILY PLANNING,363LF0000X,NURSE PRACTITIONER - FAMILY,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""082""",GERIATRIC,363L00000X,NURSE PRACTITIONER,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""082""",GERIATRIC,363LG0600X,NURSE PRACTITIONER - GERONTOLOGY,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""083""",MATERNAL/CHILD HEALTH FAMILY PLANNING,363LX0001X,NURSE PRACTITIONER - OBSTETRICS & GYNECOLOGY,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""084""",CERTIFIED REGISTERED NURSE ANESTHETIST,367500000X,"NURSE ANESTHETIST, CERTIFIED REGISTERED",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""085""",CERTIFIED REGISTERED NURSE MIDWIFE,367A00000X,ADVANCED PRACTICE MIDWIFE,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""086""",OB/GYN NURSE,363L00000X,NURSE PRACTITIONER,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""086""",OB/GYN NURSE,363LP1700X,NURSE PRACTITIONER - PERINATAL,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""086""",OB/GYN NURSE,363LW0102X,NURSE PRACTITIONER - WOMEN'S HEALTH,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""086""",OB/GYN NURSE,363LX0001X,NURSE PRACTITIONER - OBSTETRICS & GYNECOLOGY,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""087""",PEDIATRIC NURSE,363LN0000X,NURSE PRACTITIONER - NEONATAL,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""087""",PEDIATRIC NURSE,363LN0005X,"NURSE PRACTITIONER - NEONATAL, CRITICAL CARE",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""087""",PEDIATRIC NURSE,363LP0200X,NURSE PRACTITIONER - PEDIATRICS,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""087""",PEDIATRIC NURSE,363LP0222X,"NURSE PRACTITIONER - PEDIATRICS, CRITICAL CARE",source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""160""",RETAIL HEALTH CLINIC,363L00000X,NURSE PRACTITIONER,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""177""",CMS/MFC TCM,363L00000X,NURSE PRACTITIONER,source
"=""30""",ADVANCED PRACTICE REGISTERED NURSE,"=""930""",NURSE PRACTITIONER (ARNP) - GROUP,363L00000X,NURSE PRACTITIONER,source
